vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count,products_of_vendor,product_url
"OmniPay, Ltd.",omni-pay.com,https://discovery.hgdata.com/collection/omnipay-ltd-products-services,155,-,1,OmniPay,https://discovery.hgdata.com/product/omnipay
"Scirra, Ltd.",construct.net,https://discovery.hgdata.com/collection/scirra-ltd-products-services,"1,894",-,1,Construct,https://discovery.hgdata.com/product/construct
Django Software Foundation,djangoproject.com,https://discovery.hgdata.com/collection/django-software-foundation-products-services,"5,147",-,1,Django,https://discovery.hgdata.com/product/django
ServicePRO,servicepro.solutions,https://discovery.hgdata.com/collection/servicepro-products-services,"1,512",-,2,HelpSTAR,https://discovery.hgdata.com/product/helpstar
ServicePRO,servicepro.solutions,https://discovery.hgdata.com/collection/servicepro-products-services,"1,512",-,2,ServicePRO,https://discovery.hgdata.com/product/servicepro
FreshBooks,freshbooks.com,https://discovery.hgdata.com/collection/freshbooks-products-services,"2,385",-,1,FreshBooks,https://discovery.hgdata.com/product/freshbooks
"FormAssembly, Inc.",formassembly.com,https://discovery.hgdata.com/collection/formassembly-inc-products-services,"3,195",-,1,FormAssembly,https://discovery.hgdata.com/product/formassembly
3Five8 Technologies Pvt Ltd,adda.io,https://discovery.hgdata.com/collection/3five8-technologies-pvt-ltd-products-services,56,-,1,ADDA,https://discovery.hgdata.com/product/adda
"Mzinga, Inc.",mzinga.com,https://discovery.hgdata.com/collection/mzinga-inc-products-services,117,-,1,Mzinga OmniSocial,https://discovery.hgdata.com/product/mzinga-omnisocial
Digital Republic Media Group GmbH,digitalrepublic.com,https://discovery.hgdata.com/collection/digital-republic-media-group-gmbh-products-services,99,-,1,Conceptboard,https://discovery.hgdata.com/product/conceptboard
HollySys Group,hollysys.com,https://discovery.hgdata.com/collection/hollysys-group-products-services,150,-,1,HollySys (Unspecified Product),https://discovery.hgdata.com/product/hollysys-unspecified-product
"Metaswitch Networks, Ltd.",metaswitch.com,https://discovery.hgdata.com/collection/metaswitch-networks-ltd-products-services,930,-,1,Metaswitch,https://discovery.hgdata.com/product/metaswitch
"Kissflow, Inc.",kissflow.com,https://discovery.hgdata.com/collection/kissflow-inc-products-services,513,-,1,Kissflow,https://discovery.hgdata.com/product/kissflow
PROCOS AG,procos.com,https://discovery.hgdata.com/collection/procos-ag-products-services,8,-,1,STRATandGO,https://discovery.hgdata.com/product/stratandgo
"Softrend Systems, Inc.",softrend.com,https://discovery.hgdata.com/collection/softrend-systems-inc-products-services,6,-,1,Foundation 3000,https://discovery.hgdata.com/product/foundation-3000
MetaCDN Pty Ltd,metacdn.com,https://discovery.hgdata.com/collection/metacdn-pty-ltd-products-services,22,-,1,StreamShark,https://discovery.hgdata.com/product/streamshark
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Anypoint API Manager,https://discovery.hgdata.com/product/anypoint-api-manager
