vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count
Tantalus Systems Corporation,tantalus.com,https://discovery.hgdata.com/collection/tantalus-systems-corporation-products-services,43,-,1
Safran Software Solutions A\S,safran.com,https://discovery.hgdata.com/collection/safran-software-solutions-a-s-products-services,136,-,3
"Gravitational, Inc.",goteleport.com,https://discovery.hgdata.com/collection/gravitational-inc-products-services,68,-,1
"Applied Training Systems, Inc.",appliedtraining.com,https://discovery.hgdata.com/collection/applied-training-systems-inc-products-services,"2,217",-,3
"Imply Data, Inc.",imply.io,https://discovery.hgdata.com/collection/imply-data-inc-products-services,45,-,1
"ClearFit, Inc.",clearfit.com,https://discovery.hgdata.com/collection/clearfit-inc-products-services,38,-,1
Sapaad Pte Ltd,sapaad.com,https://discovery.hgdata.com/collection/sapaad-pte-ltd-products-services,40,-,1
"Pype, Inc.",pype.io,https://discovery.hgdata.com/collection/pype-inc-products-services,67,-,1
"Taskworld, Inc.",taskworld.com,https://discovery.hgdata.com/collection/taskworld-inc-products-services,64,-,1
GuestVision,guestvision.net,https://discovery.hgdata.com/collection/guestvision-products-services,79,-,1
IELO Group,ielo.net,https://discovery.hgdata.com/collection/ielo-group-products-services,40,-,1
"Tenjin, Inc.",tenjin.com,https://discovery.hgdata.com/collection/tenjin-inc-products-services,42,-,1
"Cloudamize, Inc.",cloudamize.com,https://discovery.hgdata.com/collection/cloudamize-inc-products-services,54,-,1
"AppsFlyer, Inc.",appsflyer.com,https://discovery.hgdata.com/collection/appsflyer-inc-products-services,"4,530",-,2
"Flock FZ, LLC",flock.com,https://discovery.hgdata.com/collection/flock-fz-llc-products-services,78,-,1
"Petuum, Inc.",petuum.com,https://discovery.hgdata.com/collection/petuum-inc-products-services,36,-,1
"Teledata Communications, Inc.",tcicredit.com,https://discovery.hgdata.com/collection/teledata-communications-inc-products-services,44,-,1
Nuvem Shop,nuvemshop.com.br,https://discovery.hgdata.com/collection/nuvem-shop-products-services,82,-,1
"ePROMIS Solutions, Inc.",epromis.com,https://discovery.hgdata.com/collection/epromis-solutions-inc-products-services,69,-,1
"Cayzu, Inc.",cayzu.com,https://discovery.hgdata.com/collection/cayzu-inc-products-services,45,-,1
"Aprimo, LLC",aprimo.com,https://discovery.hgdata.com/collection/aprimo-llc-products-services,"1,575",-,6
"Exterro, Inc.",exterro.com,https://discovery.hgdata.com/collection/exterro-inc-products-services,261,-,3
"FullContact, Inc.",fullcontact.com,https://discovery.hgdata.com/collection/fullcontact-inc-products-services,40,-,1
talech,talech.com,https://discovery.hgdata.com/collection/talech-products-services,40,-,1
SEI Investments Company,seic.com,https://discovery.hgdata.com/collection/sei-investments-company-products-services,118,-,2
BT Global Services,globalservices.bt.com,https://discovery.hgdata.com/collection/bt-global-services-products-services,54,-,2
Softlink Global Pvt Ltd,softlinkglobal.com,https://discovery.hgdata.com/collection/softlink-global-pvt-ltd-products-services,49,-,1
"Eleven41 Software, Inc.",eleven41.com,https://discovery.hgdata.com/collection/eleven41-software-inc-products-services,71,-,1
Koninklijke Philips N.V.,philips.com,https://discovery.hgdata.com/collection/koninklijke-philips-n-v-products-services,"3,968",-,42
"Aptean, Inc.",aptean.com,https://discovery.hgdata.com/collection/aptean-inc-products-services,"3,543",-,6
"Arbutus Software, Inc.",arbutussoftware.com,https://discovery.hgdata.com/collection/arbutus-software-inc-products-services,45,-,1
Brother International Corporation,global.brother,https://discovery.hgdata.com/collection/brother-international-corporation-products-services,260,-,3
"BounceHelp, LLC",bouncehelp.com,https://discovery.hgdata.com/collection/bouncehelp-llc-products-services,88,-,1
"Ion Wave Technologies, Inc.",ionwave.net,https://discovery.hgdata.com/collection/ion-wave-technologies-inc-products-services,60,-,1
"Tulip.io, Inc.",tulip.com,https://discovery.hgdata.com/collection/tulip-io-inc-products-services,70,-,1
"FalconStor Software, Inc.",falconstor.com,https://discovery.hgdata.com/collection/falconstor-software-inc-products-services,607,-,8
"Arcserve, LLC",arcserve.com,https://discovery.hgdata.com/collection/arcserve-llc-products-services,"8,874",-,3
"Zycus, Inc.",zycus.com,https://discovery.hgdata.com/collection/zycus-inc-products-services,635,-,13
"Keeper Security, Inc.",keepersecurity.com,https://discovery.hgdata.com/collection/keeper-security-inc-products-services,92,-,1
"Vonigo Software, Ltd.",vonigo.com,https://discovery.hgdata.com/collection/vonigo-software-ltd-products-services,45,-,1
Promethean Software Corporation,turbolaw.com,https://discovery.hgdata.com/collection/promethean-software-corporation-products-services,82,-,1
"FunnelSource, Inc.",funnelsource.com,https://discovery.hgdata.com/collection/funnelsource-inc-products-services,58,-,1
"Arista Networks, Inc.",arista.com,https://discovery.hgdata.com/collection/arista-networks-inc-products-services,"3,840",-,14
MariaDB Corporation AB,mariadb.com,https://discovery.hgdata.com/collection/mariadb-corporation-ab-products-services,54,-,1
"Golden Hills Software, Inc.",surveygoldsolutions.com,https://discovery.hgdata.com/collection/golden-hills-software-inc-products-services,57,-,1
"Bytescribe, Inc.",bytescribe.com,https://discovery.hgdata.com/collection/bytescribe-inc-products-services,46,-,1
"Ignite Enterprise Software Solutions, Inc.",ignitetech.com,https://discovery.hgdata.com/collection/ignite-enterprise-software-solutions-inc-products-services,"2,176",-,16
"Sphera Solutions, Inc.",sphera.com,https://discovery.hgdata.com/collection/sphera-solutions-inc-products-services,298,-,2
"XB Software, Inc.",xbsoftware.com,https://discovery.hgdata.com/collection/xb-software-inc-products-services,56,-,1
National Payment Corporation,natpay.com,https://discovery.hgdata.com/collection/national-payment-corporation-products-services,58,-,1
"Arm, Ltd.",arm.com,https://discovery.hgdata.com/collection/arm-ltd-products-services,"13,730",-,35
"Ixaris Systems, Ltd.",ixaris.com,https://discovery.hgdata.com/collection/ixaris-systems-ltd-products-services,47,-,1
Overland-Tandberg,overlandtandberg.com,https://discovery.hgdata.com/collection/overland-tandberg-products-services,605,-,5
"SproutLoud Media Networks, LLC",sproutloud.com,https://discovery.hgdata.com/collection/sproutloud-media-networks-llc-products-services,55,-,1
"LiveSource, Inc.",livesource.com,https://discovery.hgdata.com/collection/livesource-inc-products-services,48,-,1
"Projector PSA, Inc.",projectorpsa.com,https://discovery.hgdata.com/collection/projector-psa-inc-products-services,76,-,1
"Q4, Inc.",q4inc.com,https://discovery.hgdata.com/collection/q4-inc-products-services,80,-,1
Aruba Networks,arubanetworks.com,https://discovery.hgdata.com/collection/aruba-networks-products-services,"13,525",-,11
"Walmart, Inc.",walmart.com,https://discovery.hgdata.com/collection/walmart-inc-products-services,795,-,2
"Bitwarden, Inc.",bitwarden.com,https://discovery.hgdata.com/collection/bitwarden-inc-products-services,80,-,1
UltraRAD Corporation,ultraradcorp.com,https://discovery.hgdata.com/collection/ultrarad-corporation-products-services,50,-,1
